mesure_dt,area_nm,city,fact_manage_nm,fact_adres,stack_code,hcl_mesure_value,nox_mesure_value,sox_mesure_value,co_mesure_value,tsp_mesure_value,nh3_mesure_value,hf_mesure_value,hcl_exhst_perm_stdr_value,nox_exhst_perm_stdr_value,sox_exhst_perm_stdr_value,co_exhst_perm_stdr_value,tsp_exhst_perm_stdr_value,collected_at
2026-07-10 20:30,충청북도,청주시,청주시 생활폐기물처리시설,충청북도 청주시 흥덕구 가로수로 969-1 (휴암동),1,0.34,43.15,3.89,0.03,1.47,,,9.6,42.5,16,45,12,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,청주시 생활폐기물처리시설,충청북도 청주시 흥덕구 가로수로 969-1 (휴암동),2,5.56,14.70,0.57,1.29,0.72,,,9.6,42.5,16,45,12,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,청주시환경관리본부(하수처리과),충청북도 청주시 흥덕구 옥산면 미호로 555,1,0.45,21.87,8.84,13.88,0.61,,,9.6,42.5,16,45,12,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,청주시환경관리본부(하수처리과),충청북도 청주시 흥덕구 옥산면 미호로 555,16,,12.99,,,,,,,70,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,청주시환경관리본부(하수처리과),충청북도 청주시 흥덕구 옥산면 미호로 555,2,0.02,16.73,0.62,4.05,2.42,,,9.6,42.5,16,45,12,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,충주시,충주시클린에너지파크,충청북도 충주시 대소원면 성종두담길 21,1,0.13,22.44,0.17,2.03,2.18,,,9.6,42.5,16,45,12,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,태림포장(주)청원공장,충청북도 청주시 청원구 오창읍 두릉유리로 56-12,2,,23.56,,,,,,,40,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,태림포장(주)청원공장,충청북도 청주시 청원구 오창읍 두릉유리로 56-12,3,,18.24,,,,,,,40,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,단양군,태봉광업㈜ 단양공장,충청북도 단양군 단양읍 현천길 21,1,,51.76,,,,,,,170,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,음성군,한국동서발전(주) 음성건설본부,충청북도 음성군 음성읍 한불로 154,2,,측정자료확인중(가동중지),,,,,,,40,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,한국지역난방공사 청주지사,충청북도 청주시 서원구 3순환로644번길 159 (죽림동),1,,측정자료확인중(가동중지),,,,,,,20,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,한국지역난방공사 청주지사,충청북도 청주시 서원구 3순환로644번길 159 (죽림동),3,,측정자료확인중(가동중지),,,,,,,42,,,,2026-07-10 22:05:32
2026-07-10 20:30,충청북도,청주시,한국지역난방공사 청주지사,충청북도 청주시 서원구 3순환로644번길 159 (죽림동),4,,3.39,,,,,,,7,,,,2026-07-10 22:05:32
